Company Name,Ticker,Type,Gross Exp Ratio,Net Exp Ratio,Total Assets,Ann Dividend/Yield,Distribution Yield,Fund Inception,1m MR,3m MR,6m MR,YTD MR,1yr MR,3yr MR,5yr MR,10yr MR,Inception MR,Cur Price,EPS,P/E Ratio,Market Cap,Link,Prospectus,Description

A
iShares MSCI KLD 400 Social ETFNYSE Arca:DSI    ,DSI,ETF Profile,0.25%,0.25%,$4B,$0.9182/1.06%,0.99%,11/14/2006,+4.04%,+12.00%,+12.85%,+31.32%,+31.32%,+27.71%,+19.34%,+16.44%,+10.61%,$84.98 ,,,,https://invest.ameritrade.com/grid/p/site#r=jPage/https://research.ameritrade.com/grid/wwws/etfs/profile/profile.asp?symbol=DSI&c_name=invest_VENDOR,research.ameritrade.com/grid/wwws/common/prospectus/passthrough.asp?symbol=DSI,"The investment seeks to track the investment results of the MSCI KLD 400 Social Index composed of U.S. companies that have positive environmental, social and governance characteristics.The fund generally invests at least 90% of its assets in securities of the underlying index and in depositary receipts representing securities of the underlying index. The underlying index is a free float-adjusted market capitalization index designed to provide exposure to U.S. companies that have positive environmental, social and governance (""ESG"") characteristics."
Invesco S&P Global Water Index ETFNYSE Arca:CGW    ,CGW,ETF Profile,0.57%,0.57%,$1B,$0.9639/1.76%,1.59%,05/14/2007,+5.58%,+10.39%,+14.89%,+31.71%,+31.71%,+26.78%,+18.33%,+14.39%,+8.63%,$54.22 ,,,,https://invest.ameritrade.com/grid/p/site#r=jPage/https://research.ameritrade.com/grid/wwws/etfs/profile/profile.asp?symbol=CGW&c_name=invest_VENDOR,research.ameritrade.com/grid/wwws/common/prospectus/passthrough.asp?symbol=CGW,"The investment seeks to track the investment results (before fees and expenses) of the S&P Global Water Index (the ""underlying index"").The fund generally will invest at least 90% of its total assets in the securities that comprise the underlying index, as well as ADRs and GDRs that represent securities in the underlying index. Strictly in accordance with its guidelines and mandated procedures, the index provider compiles, maintains, and calculates the underlying index, which is designed to measure the performance of approximately 50 of the largest global companies in water-related businesses. The fund is non-diversified."
FlexShares STOXX US ESG Select Index FundCboe Consolidated Listings:ESG    ,ESG,ETF Profile,0.33%,0.32%,$200M,$1.20/1.09%,1.03%,07/13/2016,+4.26%,+10.42%,+11.18%,+28.49%,+28.49%,+26.93%,+18.95%,--,+18.40%,$107.85 ,,,,https://invest.ameritrade.com/grid/p/site#r=jPage/https://research.ameritrade.com/grid/wwws/etfs/profile/profile.asp?symbol=ESG&c_name=invest_VENDOR,research.ameritrade.com/grid/wwws/common/prospectus/passthrough.asp?symbol=ESG,"The investment seeks investment results that correspond generally to the price and yield performance, before fees and expenses, of the STOXX® USA ESG Select KPIs IndexSM.The underlying index is designed to reflect the performance of a selection of companies that, in aggregate, possess greater exposure to ESG characteristics relative to the STOXX® USA 900 Index, a float-adjusted market-capitalization weighted index of U.S.- incorporated companies. Under normal circumstances, the fund will invest at least 80% of its total assets (exclusive of collateral held from securities lending) in the securities of the underlying index."
Xtrackers MSCI USA ESG Leaders Equity ETFNYSE Arca:USSG    ,USSG,ETF Profile,0.10%,0.10%,$4B,$0.5037/1.22%,1.14%,03/06/2019,+4.09%,+11.91%,+13.02%,+31.84%,+31.84%,--,--,--,+24.75%,$40.72 ,,,,https://invest.ameritrade.com/grid/p/site#r=jPage/https://research.ameritrade.com/grid/wwws/etfs/profile/profile.asp?symbol=USSG&c_name=invest_VENDOR,research.ameritrade.com/grid/wwws/common/prospectus/passthrough.asp?symbol=USSG,"The investment seeks investment results that correspond generally to the performance, before fees and expenses, of the MSCI USA ESG Leaders Index.The index consists of large- and medium-capitalization companies in the U.S. market. The fund invests directly in the component securities of the index in substantially the same weightings in which they are represented in the index. It will normally invest at least 80% of its net assets, plus the amount of any borrowings for investment purposes, in equity securities of issuers incorporated in the United States. It is non-diversified."
Invesco Water Resources ETFNASDAQ:PHO    ,PHO,ETF Profile,0.60%,0.60%,$2B,$0.1213/0.23%,0.20%,12/06/2005,+6.16%,+11.25%,+13.78%,+31.28%,+31.28%,+29.71%,+20.34%,+14.30%,+9.51%,$53.03 ,,,,https://invest.ameritrade.com/grid/p/site#r=jPage/https://research.ameritrade.com/grid/wwws/etfs/profile/profile.asp?symbol=PHO&c_name=invest_VENDOR,research.ameritrade.com/grid/wwws/common/prospectus/passthrough.asp?symbol=PHO,"The investment seeks to track the investment results (before fees and expenses) of the NASDAQ OMX US Water IndexSM (the ""underlying index"").The fund generally will invest at least 90% of its total assets in the securities that comprise the underlying index. The underlying index seeks to track the performance of companies that create products designed to conserve and purify water for homes, businesses and industries. The underlying index may include common stocks, ordinary shares, American depositary receipts (""ADRs""), shares of beneficial interest and tracking stocks. The fund is non-diversified."
Etho Climate Leadership U.S. ETFNYSE Arca:ETHO    ,ETHO,ETF Profile,0.48%,0.48%,$201M,$0.4302/0.74%,0.67%,11/18/2015,+3.56%,+8.56%,+6.89%,+22.12%,+22.12%,+27.29%,+19.44%,--,+17.77%,$57.17 ,,,,https://invest.ameritrade.com/grid/p/site#r=jPage/https://research.ameritrade.com/grid/wwws/etfs/profile/profile.asp?symbol=ETHO&c_name=invest_VENDOR,research.ameritrade.com/grid/wwws/common/prospectus/passthrough.asp?symbol=ETHO,"The investment seeks to provide investment results that, before fees and expenses, correspond generally to the total return performance of the Etho Climate Leadership Index - US (the ""index"").The index tracks the performance of the equity securities of a diversified set of U.S. companies that are leaders in their industry with respect to their carbon impact. ""Carbon impact"" calculated based on the total greenhouse gas (""GHG"") emissions from a company's operations, fuel use, supply chain, and business activities, divided by the company's market capitalization. The fund will invest at least 80% of its total assets in the component securities of the index."
US Vegan Climate ETFNYSE Arca:VEGN    ,VEGN,ETF Profile,0.60%,0.60%,$76M,$0.1768/0.44%,0.41%,09/09/2019,+2.84%,+10.27%,+10.19%,+26.01%,+26.01%,--,--,--,+27.58%,$39.00 ,,,,https://invest.ameritrade.com/grid/p/site#r=jPage/https://research.ameritrade.com/grid/wwws/etfs/profile/profile.asp?symbol=VEGN&c_name=invest_VENDOR,research.ameritrade.com/grid/wwws/common/prospectus/passthrough.asp?symbol=VEGN,"The investment seeks to track the performance, before fees and expenses, of the Beyond Investing U.S. Vegan Climate Index.The index's construction begins with the constituents of the Solactive U.S. Large Cap Index, consisting of approximately 500 of the largest U.S.-listed companies. The fund generally will invest in all of the component securities of the index in approximately the same proportion as in the index. Under normal circumstances, at least 80% of the fund’s net assets, plus borrowings for investment purposes, will be invested in securities that are traded principally in the U.S."
Global X Conscious Companies ETFNASDAQ:KRMA    ,KRMA,ETF Profile,0.43%,0.43%,$674M,$0.3695/1.15%,1.07%,07/11/2016,+5.19%,+10.69%,+10.92%,+27.71%,+27.71%,+24.98%,+18.19%,--,+17.67%,$31.71 ,,,,https://invest.ameritrade.com/grid/p/site#r=jPage/https://research.ameritrade.com/grid/wwws/etfs/profile/profile.asp?symbol=KRMA&c_name=invest_VENDOR,research.ameritrade.com/grid/wwws/common/prospectus/passthrough.asp?symbol=KRMA,"The investment seeks to provide investment results that correspond generally to the price and yield performance, before fees and expenses, of the Concinnity Conscious Companies Index.The fund invests at least 80% of its total assets in the securities of the underlying index. The underlying index is designed to provide exposure to companies listed in the U.S. that operate their businesses in a sustainable and responsible manner, as measured by their ability to achieve positive outcomes that are consistent with a multi-stakeholder operating system (""MsOS""), as defined by the provider of the underlying index."
